09283: Eksport av fisk, etter land, statistikkvariabel, år og varegruppe;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
land;Verdi (mill. kr) 2023 Fisk, krepsdyr og bløtdyr i alt;Verdi (mill. kr) 2023 Laks;Verdi (mill. kr) 2023 Torsk;Verdi (mill. kr) 2023 Sild;Verdi (mill. kr) 2023 Makrell;Verdi (mill. kr) 2023 Sei;Verdi (mill. kr) 2023 Ørret;Verdi (mill. kr) 2023 Hyse;Verdi (mill. kr) 2023 Lange;Verdi (mill. kr) 2023 Brosme;Verdi (mill. kr) 2023 Uer;Verdi (mill. kr) 2023 Kveite;Verdi (mill. kr) 2023 Annen fisk;Verdi (mill. kr) 2023 Reker;Verdi (mill. kr) 2023 Andre skalldyr/bløtdyr
Albania;2;0;0;0;0;0;0;0;0;0;0;0;0;:;2
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Belarus;348;0;0;120;58;0;134;0;0;0;0;1;35;:;0
Belgia;1315;1263;2;0;0;1;18;2;0;0;1;0;7;:;20
Bosnia-Hercegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Bulgaria;154;34;6;4;35;0;0;0;0;0;0;0;0;:;75
Danmark;13512;10048;1588;273;18;385;78;202;30;0;59;170;427;:;234
Estland;493;313;0;15;5;0;135;0;0;0;3;3;1;:;17
Finland;2080;1867;4;10;0;11;49;0;7;0;2;0;19;:;110
Frankrike;11735;10899;252;120;36;112;127;9;7;3;1;9;30;:;129
Færøyene;265;1;47;0;60;31;0;0;0;0;0;0;126;:;1
Gibraltar;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Guernsey (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Hellas;621;481;61;3;3;1;3;0;53;0;3;0;9;:;4
Irland;771;624;54;0;0;9;0;2;0;0;0;0;71;:;9
Island;281;0;6;0;0;0;0;1;0;0;6;9;106;:;154
Isle of Man (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Italia;7418;6504;762;1;20;1;2;0;62;13;0;0;6;:;47
Jersey (2007-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Jugoslavia (-2003);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kanariøyene;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Kosovo (2009-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Kroatia;88;1;68;12;1;0;0;0;0;0;1;0;6;:;0
Kypros;64;59;2;0;1;0;2;0;0;0;0;0;0;:;0
Latvia;989;446;366;47;45;1;47;8;0;0;6;3;10;:;9
Liechtenstein;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Litauen;4669;2991;186;509;170;259;386;4;0;0;51;9;87;:;17
Luxembourg;19;12;4;0;0;0;0;0;2;0;0;0;0;:;0
Malta;18;0;9;8;0;1;0;0;0;0;0;0;0;:;0
Moldova;36;6;0;9;17;0;0;0;0;0;0;0;2;:;1
Monaco;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Montenegro (2007-);1;0;0;0;1;0;0;0;0;0;0;0;0;:;0
Nederland;10631;9072;475;349;281;62;22;5;5;9;11;67;97;:;176
Nord-Makedonia;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Polen;18626;16413;411;990;83;237;259;74;0;0;21;63;64;:;10
Portugal;5291;922;4157;0;0;37;0;0;9;7;127;2;23;:;6
Romania;347;275;0;20;38;3;2;0;0;0;1;0;5;:;1
Russland;123;72;0;2;1;0;48;0;0;0;0;0;0;:;0
San Marino;59;0;37;0;0;0;0;0;11;9;0;0;1;:;0
Serbia (2007-);144;135;0;0;9;0;0;0;0;0;0;0;0;:;0
Serbia og Montenegro (2004-2006);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slovakia;16;4;3;8;0;0;0;0;0;0;0;0;1;:;0
Slovenia;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Sovjetunionen (-1992);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spania;8613;7932;420;6;11;20;15;1;13;1;48;2;69;:;74
Storbritannia;7791;5597;1026;6;84;29;48;602;7;14;6;72;49;:;252
Sveits;395;340;33;0;0;0;4;0;1;0;0;1;1;:;13
Sverige;4691;3421;267;177;101;52;28;44;9;0;3;46;209;:;335
Sør-Georgia og Sør-Sandwichøyene (1999-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Tsjekkia;674;622;20;31;0;0;0;0;0;0;0;0;1;:;1
Tsjekkoslovakia (-1992);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tyrkia;738;521;1;3;120;56;19;0;0;0;0;0;5;:;14
Tyskland;5228;4318;137;443;18;76;105;5;1;0;17;15;45;:;49
Ukraina;2445;1466;5;130;94;0;591;1;0;0;11;8;52;:;87
Ungarn;9;4;0;0;0;0;0;0;0;0;0;0;5;:;0
Vatikanstaten;0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
Østerrike;134;132;0;1;0;0;0;0;0;0;0;0;0;:;0
Øst-Tyskland (DDR) (-1990);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Åland (2005-);0;0;0;0;0;0;0;0;0;0;0;0;0;:;0
